date,time_local,opponent,home_away,competition,stadium
2025-08-24,20:45,都灵,Home,意甲,圣西罗球场
2025-08-31,20:45,乌迪内斯,Home,意甲,圣西罗球场
2025-09-14,20:45,尤文图斯,Away,意甲,
2025-09-17,03:00,阿贾克斯,Away,欧冠,
2025-09-21,20:45,萨索洛,Home,意甲,圣西罗球场
2025-09-28,20:45,卡利亚里,Away,意甲,
2025-10-01,03:00,布拉格斯拉维亚,Home,欧冠,圣西罗球场
2025-10-05,20:45,克雷莫内塞,Home,意甲,圣西罗球场
2025-10-19,20:45,罗马,Away,意甲,
2025-10-22,03:00,圣吉罗斯联合,Away,欧冠,
2025-10-26,20:45,那不勒斯,Away,意甲,
2025-10-29,20:45,佛罗伦萨,Home,意甲,圣西罗球场
2025-11-02,20:45,维罗纳,Away,意甲,
2025-11-06,04:00,开拉特阿拉木图,Home,欧冠,圣西罗球场
2025-11-09,20:45,拉齐奥,Home,意甲,圣西罗球场
2025-11-23,20:45,AC米兰,Home,意甲,圣西罗球场
2025-11-27,04:00,马德里竞技,Away,欧冠,
2025-11-30,15:00,比萨,Away,意甲,
2025-12-03,21:00,威尼斯,Home,意大利杯,圣西罗球场
2025-12-06,18:00,科莫,Home,意甲,圣西罗球场
2025-12-09,04:00,利物浦,Home,欧冠,圣西罗球场
2025-12-14,18:00,热那亚,Away,意甲,
2025-12-19,20:00,博洛尼亚,Home,意大利超级杯,圣西罗球场
2025-12-21,20:45,莱切,Home,意甲,圣西罗球场
2025-12-28,20:45,亚特兰大,Away,意甲,
2026-01-03,20:45,博洛尼亚,Home,意甲,圣西罗球场
2026-01-06,20:45,帕尔马,Away,意甲,
2026-01-11,20:45,那不勒斯,Home,意甲,圣西罗球场
2026-01-14,20:45,莱切,Home,意甲,圣西罗球场
2026-01-18,15:00,乌迪内斯,Away,意甲,
2026-01-21,04:00,阿森纳,Home,欧冠,圣西罗球场
2026-01-25,20:45,比萨,Home,意甲,圣西罗球场
2026-01-29,04:00,多特蒙德,Away,欧冠,
2026-02-01,15:00,克雷莫内塞,Away,意甲,
2026-02-08,15:00,萨索洛,Away,意甲,
2026-02-15,15:00,尤文图斯,Home,意甲,圣西罗球场
2026-02-22,15:00,莱切,Away,意甲,
2026-03-01,15:00,热那亚,Home,意甲,圣西罗球场
2026-03-08,15:00,AC米兰,Away,意甲,
2026-03-15,15:00,亚特兰大,Home,意甲,圣西罗球场
2026-03-22,15:00,佛罗伦萨,Away,意甲,
2026-04-05,15:00,罗马,Home,意甲,圣西罗球场
2026-04-12,15:00,科莫,Away,意甲,
2026-04-19,15:00,卡利亚里,Home,意甲,圣西罗球场
2026-04-26,15:00,都灵,Away,意甲,
2026-05-03,15:00,帕尔马,Home,意甲,圣西罗球场
2026-05-10,15:00,拉齐奥,Away,意甲,
2026-05-17,15:00,维罗纳,Home,意甲,圣西罗球场
2026-05-24,15:00,博洛尼亚,Away,意甲,
